Titre,Description,Lien,Image SRC
Le pape demande la libération des six religieuses enlevées à Port-au-Prince,"Le pape François a appelé dimanche à la libération d'un groupe de huit personnes, dont six religieuses, enlevées en Haïti, pays ravagé par la violence des gangs.",/article/246446/le-pape-demande-la-liberation-des-six-religieuses-enlevees-a-port-au-prince,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
"Attaques armées et images de peyi lòk à Port-au-Prince, manifestations en province",Port-au-Prince s’est réveillée sous tension ce jeudi 18 janvier 2024.,/article/246403/attaques-armees-et-images-de-peyi-lok-a-port-au-prince-manifestations-en-province,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
"Des annonces et des promesses pour favoriser une sortie de crise en Haïti, lors de la réunion de l’OIF","La 4e réunion du Comité ad hoc consultatif restreint sur la situation en Haïti de l’Organisation internationale de la francophonie (OIF) s’est tenue le jeudi 18 janvier 2024, à Paris. À l’initiative de la secrétaire générale de l’OIF Louise Mushikiwabo, cette rencontre a rassemblé les représentants des États et gouvernements membres de la Francophonie, dont la ministre de la Justice et de la Sécurité d’Haïti, Emmelie Prophète Milcé.",/article/246406/des-annonces-et-des-promesses-pour-favoriser-une-sortie-de-crise-en-haiti-lors-de-la-reunion-de-loif,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
"Pas de discussions réelles en vue de la sortie de crise, le Collectif du 30 janvier dénonce une campagne de propagande du pouvoir","À 21 jours du 7 février 2024, date de la transmission du pouvoir à des élus, selon les termes de l’accord du 21 décembre 2022, il n’y a toujours pas d’initiatives concrètes pouvant permettre d’aboutir à un dégel de la crise haïtienne.",/article/246409/pas-de-discussions-reelles-en-vue-de-la-sortie-de-crise-le-collectif-du-30-janvier-denonce-une-campagne-de-propagande-du-pouvoir,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Les États-Unis et le BINUH présentent le bilan de leur participation à la réunion de l’OIF,"Des acteurs clés intéressés par la résolution de la crise haïtienne ont participé, le jeudi 18 janvier 2024, à Paris, à la réunion du Comité ad hoc consultatif restreint sur la situation haïtienne convoquée par la secrétaire générale de l’Organisation internationale de la Francophonie (OIF). Lors de cette importante rencontre, plusieurs de ces acteurs ont présenté leur vision de la crise et des mécanismes à mettre en œuvre pour aider les Haïtiens à trouver une issue.",/article/246411/les-etats-unis-et-le-binuh-presentent-le-bilan-de-leur-participation-a-la-reunion-de-loif,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Ron DeSantis abandonne la course à la Maison Blanche et soutiendra Trump,"Le gouverneur de Floride Ron DeSantis, un temps perçu comme le principal rival de Donald Trump sur sa route vers l'investiture républicaine, a annoncé dimanche jeter l'éponge et se rallier derrière le milliardaire en vue de la présidentielle de novembre.",/article/246449/ron-desantis-abandonne-la-course-a-la-maison-blanche-et-soutiendra-trump,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
"« Un accord politique n'est pas nécessairement une condition préalable pour le déploiement de la MMAS », selon Maria Isabel Salvador","L’accord politique souhaité par la communauté internationale depuis l’assassinat de l’ex-président Jovenel Moïse n’est pas obligatoire en vue du déploiement de la Mission multinationale d’appui à la sécurité (MMAS), c’est ce qu’a soutenu Maria Isabel Salvador, représentante spéciale du secrétaire général des Nations unies en Haïti et cheffe du Bureau intégré des Nations unies en Haïti (BINUH), à la  réunion du Comité ad hoc consultatif restreint sur la situation en Haïti, le 18 janvier 2024. À cette réunion, Mme Salvador a évoqué la situation de la Police nationale d’Haïti (PNH) et les mises en place à faire en prévision de l’arrivée de la MMAS.",/article/246434/un-accord-politique-nest-pas-necessairement-une-condition-prealable-pour-le-deploiement-de-la-mmas-selon-maria-isabel-salvador,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Sanctions onusiennes: le panel des experts en mission à Port-au-Prince,Les quatre membres du panel des experts des Nations-Unies sur les sanctions ont séjourné en Haïti cette semaine.,/article/246443/sanctions-onusiennes-le-panel-des-experts-en-mission-a-port-au-prince,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Augmentation des plaies par balle dans les hôpitaux,"Comme à chaque période de grandes turbulences politiques ces dernières années, les gangs armés ont fait parler la poudre, entraînant une nette augmentation des plaies par balle dans les principaux hôpitaux de l'aire métropolitaine de Port-au-Prince.",/article/246436/augmentation-des-plaies-par-balle-dans-les-hopitaux,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Haïti n'a pas besoin de nouvelles promesses,Les troubles des derniers jours confirment combien la situation en Haïti est explosive.,/article/246444/haiti-na-pas-besoin-de-nouvelles-promesses,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Six religieuses de la Congrégation des sœurs de Ste-Anne enlevées à Port-au-Prince,"Alors qu’elles se trouvaient dans un autobus, six religieuses de la Congrégation des sœurs de Ste-Anne et d’autres occupants du véhicule ont été enlevées le vendredi 19 janvier à Port-au-Prince.",/article/246425/six-religieuses-de-la-congregation-des-soeurs-de-ste-anne-enlevees-a-port-au-prince,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Maria Isabel Salvador dresse le portrait des prisons haïtiennes à la réunion de l’Organisation internationale de la francophonie,"Maria Isabel Salvador, représentante spéciale du secrétaire général des Nations unies en Haïti et cheffe du Bureau intégré des Nations unies en Haïti (BINUH), a évoqué, à la réunion du Comité ad hoc consultatif restreint sur la situation en Haïti de l’Organisation internationale de la francophonie (OIF), le jeudi 18 janvier 2024, la situation carcérale à l’approche d’un éventuel déploiement de la Mission multinationale d’appui à la sécurité (MMAS). Dans son intervention Mme Salvador a dressé le portrait d’un secteur pénitentiaire en crise et souvent « invisibilisé ».",/article/246435/maria-isabel-salvador-dresse-le-portrait-des-prisons-haitiennes-a-la-reunion-de-lorganisation-internationale-de-la-francophonie,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
La société du Rhum Barbancourt part en guerre contre la contrefaçon,"Suite à la découverte de plusieurs bouteilles du Rhum Barbancourt trois étoiles issues de la contrefaçon sur le marché, la société du Rhum Barbancourt a présenté, le vendredi 19 janvier 2024, lors d’une conférence de presse, les résultats de ses analyses sur ce produit contrefait qui se relève en dehors des normes et des standards internationaux.",/article/246438/la-societe-du-rhum-barbancourt-part-en-guerre-contre-la-contrefacon,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
